departementFabrication,nom,urlWikipedia,lait,image,typePate,vinAssocie
Allier,A Filetta,http://fr.wikipedia.org/wiki/A_Filetta_%28marque%29,Brebis,A_Filetta.jpg,molle croute lavée,vin blanc moelleux
Lot,Abbaye de Belloc,http://fr.wikipedia.org/wiki/Abbaye_de_Belloc_%28fromage%29,Brebis,Abbaye_de_Belloc.jpg,pressée non cuite,vin rouge charnu
Réunion,Abbaye de Cîteaux,http://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux_%28marque%29,Vaches,Abbaye_de_Citeaux.JPG,pressée non cuite,vin rouge charnu
Savoie,Abbaye de la Joie Notre-Dame,http://fr.wikipedia.org/wiki/Abbaye_de_la_Joie_Notre-Dame_%28fromage%29,Vache,Abbaye_de_la_Joie_NotreDame.jpg,pressée non cuite,vin rouge charnu
Saône-et-Loire,Abbaye de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Abbaye_de_la_Pierre-qui-Vire_%28fromage%29,Vache,Abbaye_de_la_Pierre_qui_Vire.jpg,molle croûte lavée,vin blanc moelleux
Yonne,Abbaye de Tamié,http://fr.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9_%28fromage%29,Vache,Abbaye_de_Tamie.jpg,pressée non cuite,vin rouge charnu
Tarn,Abondance,http://fr.wikipedia.org/wiki/Abondance_%28fromage%29,Vache,Abondance.jpg,pressée cuite,vin blanc gras
Seine-Maritime,Affidélice,http://fr.wikipedia.org/wiki/Affid%C3%A9lice,Vache,Affidelice.jpg,molle croûte lavée,vin blanc moelleux
Morbihan,Aiguille d'Orcières,http://fr.wikipedia.org/wiki/Aiguille_d%27Orci%C3%A8res,Vache,Aiguille_dOrcieres.png,préssée cuite,vin blanc gras
Ain,Aisy cendré,http://fr.wikipedia.org/wiki/Aisy_cendr%C3%A9,Vache,Aisy_Cendre.jpg,molle croûte lavée,vin blanc moelleux
Corrèze,Amou,http://fr.wikipedia.org/wiki/Amou_%28fromage%29,Brebis,Amou.jpg,pressée non cuite,vin rouge charnu
Jura,Ardi-Gasna,http://fr.wikipedia.org/wiki/Ardi-Gasna,Brebis,Ardi_Gasna.jpg,pressée non cuite,vin rouge charnu
Savoie,Arôme au vin blanc,http://fr.wikipedia.org/wiki/Ar%C3%B4me_au_vin_blanc,Vache,Arome_au_Vin_Blanc.png,molle,vin blanc équilibré
Savoie,Arôme de Lyon,http://fr.wikipedia.org/wiki/Ar%C3%B4me_de_Lyon,Vache,Arome_de_Lyon.jpg,molle,vin blanc équilibré
Tarn,Arthon,http://fr.wikipedia.org/wiki/Arthon_%28fromage%29,Chèvre,Arthon.jpg,molle,vin blanc équilibré
Aveyron,Autun,http://fr.wikipedia.org/wiki/Autun_%28fromage%29,Chèvre,Autun.jpg,molle,vin blanc équilibré
Bas-Rhin,Avalin,http://fr.wikipedia.org/wiki/Avalin,Vache,Avalin.jpg,préssée cuite,vin blanc gras
Meurthe-et-Moselle,Baguette paysanne à la moutarde,http://fr.wikipedia.org/wiki/Baguette_paysanne_%C3%A0_la_moutarde,Vache,Baguette_Paysanne_a_la_Moutarde,molle croute lavée,vin blanc moelleux
Ain,Barberey,http://fr.wikipedia.org/wiki/Barberey_%28fromage%29,Vache,Barberey.jpg,molle croute naturelle,vin rouge léger
Ardèche,Barousse,http://fr.wikipedia.org/wiki/Barousse_%28fromage%29,Brebis,Barousse.jpg,pressée non cuite,vin rouge charnu
Cantal,Beaufort,http://fr.wikipedia.org/wiki/Beaufort_%28fromage%29,Vache,Beaufort.jpg,pressée cuite,vin blanc gras
Côte-d'Or,Beaumont,http://fr.wikipedia.org/wiki/Beaumont_%28fromage%29,Vache,Beaumont.jpg,pressée non cuite,vin rouge charnu
Indre,Belle des champs,http://fr.wikipedia.org/wiki/Belle_des_champs,Vache,Belle_des_Champs.jpg,molle croute fleurie,vin rouge léger
Indre-et-Loire,Bessay,http://fr.wikipedia.org/wiki/Bessay_%28fromage%29,Vache,Bessay.jpg,molle,vin blanc équilibré
Morbihan,Bethmale,http://fr.wikipedia.org/wiki/Bethmale_%28fromage%29,Vache,Bethmale.jpg,pressée non cuite,vin rouge charnu
Oise,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Puy-de-Dôme,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Réunion,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Savoie,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Haute-Marne,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Drôme,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Rhône,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache,Bleu_dAuvergne.jpg,persilée,vin blanc moelleux
Aveyron,Bleu de Costaros,http://fr.wikipedia.org/wiki/Bleu_de_Costaros,Vache,Bleu_de_Costaros.jpg,persilée,vin blanc moelleux
